entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label
dev_3010,edge_device,2026-07-01 00:36:18,192.168.1.110,"East Heather, Factory-Floor",/status,token,27.4,['EXEC /sync'],RTOS v4.0 | MAC:a0:20:8e:ec:42:f6,normal
svc_2008,service_account,2026-07-01 00:36:19,10.0.0.137,DataCenter-US-East,/internal/sync,certificate,31.08,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3017,edge_device,2026-07-01 00:36:26,192.168.1.117,"Port Brian, Factory-Floor",/telemetry/upload,token,149.19,['EXEC /sync'],RTOS v3.0 | MAC:2a:69:0d:fe:d0:7e,normal
svc_2006,service_account,2026-07-01 00:37:56,10.0.0.215,DataCenter-US-East,/healthcheck,certificate,196.1,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3004,edge_device,2026-07-01 00:42:49,192.168.1.104,"Port Timothyberg, Factory-Floor",/telemetry/upload,token,187.56,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
dev_3019,edge_device,2026-07-01 00:43:14,192.168.1.119,"Alexandrafurt, Factory-Floor",/telemetry/upload,biometric,293.83,['EXEC /sync'],RTOS v1.0 | MAC:54:3c:eb:3d:b9:99,normal
svc_2005,service_account,2026-07-01 00:43:18,10.0.0.63,DataCenter-US-East,/healthcheck,certificate,155.55,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3011,edge_device,2026-07-01 00:47:59,192.168.1.111,"Muellerstad, Factory-Floor",/telemetry/upload,token,80.38,['EXEC /sync'],RTOS v3.0 | MAC:d4:a9:07:1b:7a:67,normal
dev_3015,edge_device,2026-07-01 00:50:35,192.168.1.115,"Mooreside, Factory-Floor",/telemetry/upload,token,202.63,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
dev_3012,edge_device,2026-07-01 00:50:57,192.168.1.112,"North Jennifer, Factory-Floor",/telemetry/upload,biometric,167.72,['EXEC /sync'],RTOS v4.0 | MAC:f2:7d:b6:62:29:eb,normal
dev_3016,edge_device,2026-07-01 00:53:40,192.168.1.116,"Brewerland, Factory-Floor",/telemetry/upload,token,29.81,['EXEC /sync'],RTOS v4.0 | MAC:d4:bb:67:54:38:05,normal
svc_2005,service_account,2026-07-01 01:00:04,10.0.0.63,DataCenter-US-East,/internal/backup,certificate,160.6,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3015,edge_device,2026-07-01 01:01:13,192.168.1.115,"Mooreside, Factory-Floor",/telemetry/upload,token,202.67,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
svc_2004,service_account,2026-07-01 01:03:35,10.0.0.107,DataCenter-US-East,/healthcheck,certificate,30.37,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2006,service_account,2026-07-01 01:10:25,10.0.0.215,DataCenter-US-East,/internal/sync,certificate,298.83,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3003,edge_device,2026-07-01 01:11:39,192.168.1.103,"Crystalburgh, Factory-Floor",/telemetry/upload,biometric,187.46,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
dev_3003,edge_device,2026-07-01 01:11:55,192.168.1.103,"Crystalburgh, Factory-Floor",/telemetry/upload,biometric,45.53,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
dev_3013,edge_device,2026-07-01 01:15:14,192.168.1.113,"Ellisport, Factory-Floor",/telemetry/upload,token,109.42,['EXEC /sync'],RTOS v3.0 | MAC:7e:9d:82:57:8a:dd,normal
svc_2004,service_account,2026-07-01 01:17:41,10.0.0.107,DataCenter-US-East,/internal/backup,certificate,66.02,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3015,edge_device,2026-07-01 01:20:26,192.168.1.115,"Mooreside, Factory-Floor",/telemetry/upload,token,232.09,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
svc_2002,service_account,2026-07-01 01:27:14,10.0.0.46,DataCenter-US-East,/healthcheck,certificate,66.52,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3014,edge_device,2026-07-01 01:30:09,192.168.1.114,"Christineburgh, Factory-Floor",/telemetry/upload,token,139.76,['EXEC /sync'],RTOS v1.0 | MAC:52:b3:a7:34:85:f6,normal
dev_3004,edge_device,2026-07-01 01:34:54,192.168.1.104,"Port Timothyberg, Factory-Floor",/telemetry/upload,token,204.23,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
svc_2000,service_account,2026-07-01 01:36:32,10.0.0.194,DataCenter-US-East,/internal/sync,certificate,194.51,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3004,edge_device,2026-07-01 01:38:07,192.168.1.104,"Port Timothyberg, Factory-Floor",/status,token,56.94,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
dev_3006,edge_device,2026-07-01 01:39:42,192.168.1.106,"Brandonburgh, Factory-Floor",/telemetry/upload,token,250.99,['EXEC /sync'],RTOS v3.0 | MAC:32:6f:58:23:49:b0,normal
dev_3018,edge_device,2026-07-01 01:40:13,192.168.1.118,"Hawkinsville, Factory-Floor",/status,token,3.03,['EXEC /sync'],RTOS v1.0 | MAC:8c:5a:dd:ef:77:24,normal
svc_2007,service_account,2026-07-01 01:40:46,10.0.0.12,DataCenter-US-East,/healthcheck,certificate,46.3,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3015,edge_device,2026-07-01 01:41:01,192.168.1.115,"Mooreside, Factory-Floor",/status,token,241.33,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
svc_2002,service_account,2026-07-01 01:42:51,10.0.0.46,DataCenter-US-East,/healthcheck,certificate,228.93,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3011,edge_device,2026-07-01 01:44:38,192.168.1.111,"Muellerstad, Factory-Floor",/status,token,193.81,['EXEC /sync'],RTOS v3.0 | MAC:d4:a9:07:1b:7a:67,normal
dev_3009,edge_device,2026-07-01 01:44:43,192.168.1.109,"New Brianna, Factory-Floor",/status,biometric,283.07,['EXEC /sync'],RTOS v3.0 | MAC:04:8a:a2:2f:4c:34,normal
svc_2000,service_account,2026-07-01 01:46:23,10.0.0.194,DataCenter-US-East,/internal/backup,certificate,237.42,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3018,edge_device,2026-07-01 01:47:26,192.168.1.118,"Hawkinsville, Factory-Floor",/status,token,101.47,['EXEC /sync'],RTOS v1.0 | MAC:8c:5a:dd:ef:77:24,normal
svc_2006,service_account,2026-07-01 01:48:57,10.0.0.215,DataCenter-US-East,/internal/backup,certificate,221.54,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3016,edge_device,2026-07-01 01:49:45,192.168.1.116,"Brewerland, Factory-Floor",/status,token,202.93,['EXEC /sync'],RTOS v4.0 | MAC:d4:bb:67:54:38:05,normal
dev_3003,edge_device,2026-07-01 01:52:09,192.168.1.103,"Crystalburgh, Factory-Floor",/telemetry/upload,biometric,49.8,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
dev_3003,edge_device,2026-07-01 01:53:36,192.168.1.103,"Crystalburgh, Factory-Floor",/status,biometric,57.9,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
svc_2004,service_account,2026-07-01 01:56:51,10.0.0.107,DataCenter-US-East,/healthcheck,certificate,13.42,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2001,service_account,2026-07-01 01:58:30,10.0.0.127,DataCenter-US-East,/internal/backup,certificate,103.91,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3017,edge_device,2026-07-01 01:58:50,192.168.1.117,"Port Brian, Factory-Floor",/telemetry/upload,token,81.79,['EXEC /sync'],RTOS v3.0 | MAC:2a:69:0d:fe:d0:7e,normal
dev_3000,edge_device,2026-07-01 02:02:28,192.168.1.100,"Davidchester, Factory-Floor",/telemetry/upload,token,274.28,['EXEC /sync'],RTOS v4.0 | MAC:b6:b7:33:d5:c0:7d,normal
svc_2003,service_account,2026-07-01 02:07:34,10.0.0.55,DataCenter-US-East,/internal/sync,certificate,272.34,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3015,edge_device,2026-07-01 02:11:40,192.168.1.115,"Mooreside, Factory-Floor",/status,token,130.43,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
dev_3010,edge_device,2026-07-01 02:12:35,192.168.1.110,"East Heather, Factory-Floor",/status,token,4.49,['EXEC /sync'],RTOS v4.0 | MAC:a0:20:8e:ec:42:f6,normal
svc_2003,service_account,2026-07-01 02:15:40,10.0.0.55,DataCenter-US-East,/healthcheck,certificate,49.96,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2001,service_account,2026-07-01 02:17:42,10.0.0.127,DataCenter-US-East,/internal/backup,certificate,239.77,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3012,edge_device,2026-07-01 02:21:51,192.168.1.112,"North Jennifer, Factory-Floor",/telemetry/upload,biometric,296.25,['EXEC /sync'],RTOS v4.0 | MAC:f2:7d:b6:62:29:eb,normal
dev_3003,edge_device,2026-07-01 02:21:57,192.168.1.103,"Crystalburgh, Factory-Floor",/status,biometric,216.9,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
dev_3006,edge_device,2026-07-01 02:27:05,192.168.1.106,"Brandonburgh, Factory-Floor",/telemetry/upload,token,166.08,['EXEC /sync'],RTOS v3.0 | MAC:32:6f:58:23:49:b0,normal
dev_3007,edge_device,2026-07-01 02:33:54,192.168.1.107,"Lake Theresa, Factory-Floor",/status,token,148.21,['EXEC /sync'],RTOS v4.0 | MAC:dc:fe:19:bb:ad:54,normal
dev_3018,edge_device,2026-07-01 02:35:29,192.168.1.118,"Hawkinsville, Factory-Floor",/status,token,179.88,['EXEC /sync'],RTOS v1.0 | MAC:8c:5a:dd:ef:77:24,normal
svc_2007,service_account,2026-07-01 02:36:53,10.0.0.12,DataCenter-US-East,/internal/backup,certificate,234.65,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3003,edge_device,2026-07-01 02:43:40,192.168.1.103,"Crystalburgh, Factory-Floor",/telemetry/upload,biometric,255.4,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
svc_2007,service_account,2026-07-01 02:47:02,10.0.0.12,DataCenter-US-East,/internal/sync,certificate,281.36,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3009,edge_device,2026-07-01 02:59:24,192.168.1.109,"New Brianna, Factory-Floor",/status,biometric,141.04,['EXEC /sync'],RTOS v3.0 | MAC:04:8a:a2:2f:4c:34,normal
dev_3012,edge_device,2026-07-01 03:03:39,192.168.1.112,"North Jennifer, Factory-Floor",/status,biometric,149.05,['EXEC /sync'],RTOS v4.0 | MAC:f2:7d:b6:62:29:eb,normal
usr_1020,user,2026-07-01 03:03:55,190.184.7.56,"North Austin, Saint Barthelemy",/finance/db_backup_chunk,token,400.0,['GET /finance/db_backup_chunk'],macOS 14.2 | Chrome 126.0,low_and_slow
dev_3003,edge_device,2026-07-01 03:08:06,192.168.1.103,"Crystalburgh, Factory-Floor",/telemetry/upload,biometric,80.19,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
svc_2003,service_account,2026-07-01 03:10:21,10.0.0.55,DataCenter-US-East,/healthcheck,certificate,184.23,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
usr_1025,user,2026-07-01 03:11:55,196.153.141.109,"Blackhaven, Greenland",/finance/db_backup_chunk,token,400.0,['GET /finance/db_backup_chunk'],macOS 14.2 | Chrome 127.0,low_and_slow
svc_2000,service_account,2026-07-01 03:12:40,10.0.0.194,DataCenter-US-East,/healthcheck,certificate,179.08,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3010,edge_device,2026-07-01 03:21:15,192.168.1.110,"East Heather, Factory-Floor",/status,token,187.56,['EXEC /sync'],RTOS v4.0 | MAC:a0:20:8e:ec:42:f6,normal
svc_2002,service_account,2026-07-01 03:21:18,10.0.0.46,DataCenter-US-East,/internal/sync,certificate,52.2,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2003,service_account,2026-07-01 03:21:30,10.0.0.55,DataCenter-US-East,/healthcheck,certificate,208.22,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3002,edge_device,2026-07-01 03:24:03,192.168.1.102,"Debraton, Factory-Floor",/status,token,174.71,['EXEC /sync'],RTOS v1.0 | MAC:ac:2f:ec:5e:33:99,normal
svc_2003,service_account,2026-07-01 03:26:01,10.0.0.55,DataCenter-US-East,/healthcheck,certificate,245.74,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2004,service_account,2026-07-01 03:26:06,10.0.0.107,DataCenter-US-East,/healthcheck,certificate,23.44,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3018,edge_device,2026-07-01 03:28:02,192.168.1.118,"Hawkinsville, Factory-Floor",/telemetry/upload,token,83.88,['EXEC /sync'],RTOS v1.0 | MAC:8c:5a:dd:ef:77:24,normal
dev_3002,edge_device,2026-07-01 03:29:04,192.168.1.102,"Debraton, Factory-Floor",/telemetry/upload,token,4.44,['EXEC /sync'],RTOS v1.0 | MAC:ac:2f:ec:5e:33:99,normal
dev_3010,edge_device,2026-07-01 03:34:42,192.168.1.110,"East Heather, Factory-Floor",/status,token,98.67,['EXEC /sync'],RTOS v4.0 | MAC:a0:20:8e:ec:42:f6,normal
dev_3015,edge_device,2026-07-01 03:38:11,192.168.1.115,"Mooreside, Factory-Floor",/telemetry/upload,token,256.38,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
usr_1002,user,2026-07-01 03:40:55,55.113.106.89,"South Joseph, American Samoa",/finance/db_backup_chunk,token,400.0,['GET /finance/db_backup_chunk'],macOS 14.1 | Chrome 121.0,low_and_slow
dev_3007,edge_device,2026-07-01 03:41:07,192.168.1.107,"Lake Theresa, Factory-Floor",/telemetry/upload,token,83.1,['EXEC /sync'],RTOS v4.0 | MAC:dc:fe:19:bb:ad:54,normal
svc_2001,service_account,2026-07-01 03:41:53,10.0.0.127,DataCenter-US-East,/internal/sync,certificate,183.72,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3000,edge_device,2026-07-01 03:44:24,192.168.1.100,"Davidchester, Factory-Floor",/telemetry/upload,token,178.71,['EXEC /sync'],RTOS v4.0 | MAC:b6:b7:33:d5:c0:7d,normal
dev_3008,edge_device,2026-07-01 03:46:05,192.168.1.108,"Craigmouth, Factory-Floor",/status,token,228.58,['EXEC /sync'],RTOS v4.0 | MAC:f8:16:6c:08:1f:34,normal
dev_3009,edge_device,2026-07-01 03:48:24,192.168.1.109,"New Brianna, Factory-Floor",/telemetry/upload,biometric,82.83,['EXEC /sync'],RTOS v3.0 | MAC:04:8a:a2:2f:4c:34,normal
dev_3004,edge_device,2026-07-01 03:57:41,192.168.1.104,"Port Timothyberg, Factory-Floor",/telemetry/upload,token,17.9,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
dev_3004,edge_device,2026-07-01 04:00:29,192.168.1.104,"Port Timothyberg, Factory-Floor",/status,token,44.54,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
svc_2003,service_account,2026-07-01 04:05:08,10.0.0.55,DataCenter-US-East,/internal/backup,certificate,1.54,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3014,edge_device,2026-07-01 04:05:19,192.168.1.114,"Christineburgh, Factory-Floor",/status,token,35.97,['EXEC /sync'],RTOS v1.0 | MAC:52:b3:a7:34:85:f6,normal
dev_3018,edge_device,2026-07-01 04:12:08,192.168.1.118,"Hawkinsville, Factory-Floor",/telemetry/upload,token,114.15,['EXEC /sync'],RTOS v1.0 | MAC:8c:5a:dd:ef:77:24,normal
svc_2004,service_account,2026-07-01 04:12:19,10.0.0.107,DataCenter-US-East,/internal/backup,certificate,177.86,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3012,edge_device,2026-07-01 04:12:37,192.168.1.112,"North Jennifer, Factory-Floor",/status,biometric,175.19,['EXEC /sync'],RTOS v4.0 | MAC:f2:7d:b6:62:29:eb,normal
dev_3019,edge_device,2026-07-01 04:13:21,192.168.1.119,"Alexandrafurt, Factory-Floor",/telemetry/upload,biometric,139.88,['EXEC /sync'],RTOS v1.0 | MAC:54:3c:eb:3d:b9:99,normal
svc_2005,service_account,2026-07-01 04:16:37,10.0.0.63,DataCenter-US-East,/internal/sync,certificate,3.84,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2005,service_account,2026-07-01 04:17:33,10.0.0.63,DataCenter-US-East,/internal/backup,certificate,83.79,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2001,service_account,2026-07-01 04:18:27,10.0.0.127,DataCenter-US-East,/healthcheck,certificate,281.34,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3016,edge_device,2026-07-01 04:18:41,192.168.1.116,"Brewerland, Factory-Floor",/telemetry/upload,token,154.87,['EXEC /sync'],RTOS v4.0 | MAC:d4:bb:67:54:38:05,normal
dev_3004,edge_device,2026-07-01 04:24:19,192.168.1.104,"Port Timothyberg, Factory-Floor",/status,token,22.14,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
svc_2007,service_account,2026-07-01 04:25:09,10.0.0.12,DataCenter-US-East,/healthcheck,certificate,62.67,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2007,service_account,2026-07-01 04:27:30,10.0.0.12,DataCenter-US-East,/internal/backup,certificate,75.08,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3019,edge_device,2026-07-01 04:28:10,192.168.1.119,"Alexandrafurt, Factory-Floor",/telemetry/upload,biometric,187.88,['EXEC /sync'],RTOS v1.0 | MAC:54:3c:eb:3d:b9:99,normal
dev_3007,edge_device,2026-07-01 04:37:56,192.168.1.107,"Lake Theresa, Factory-Floor",/telemetry/upload,token,250.93,['EXEC /sync'],RTOS v4.0 | MAC:dc:fe:19:bb:ad:54,normal
dev_3003,edge_device,2026-07-01 04:38:18,192.168.1.103,"Crystalburgh, Factory-Floor",/status,biometric,64.33,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
svc_2000,service_account,2026-07-01 04:40:28,10.0.0.194,DataCenter-US-East,/internal/sync,certificate,153.38,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3005,edge_device,2026-07-01 04:45:01,192.168.1.105,"Julieport, Factory-Floor",/status,token,221.9,['EXEC /sync'],RTOS v2.0 | MAC:c0:2e:57:c7:2b:bb,normal
dev_3003,edge_device,2026-07-01 04:47:52,192.168.1.103,"Crystalburgh, Factory-Floor",/status,biometric,243.19,['EXEC /sync'],RTOS v2.0 | MAC:c2:3d:f4:96:5e:bc,normal
dev_3007,edge_device,2026-07-01 04:52:07,192.168.1.107,"Lake Theresa, Factory-Floor",/status,token,86.9,['EXEC /sync'],RTOS v4.0 | MAC:dc:fe:19:bb:ad:54,normal
dev_3009,edge_device,2026-07-01 05:00:06,192.168.1.109,"New Brianna, Factory-Floor",/status,biometric,164.68,['EXEC /sync'],RTOS v3.0 | MAC:04:8a:a2:2f:4c:34,normal
dev_3019,edge_device,2026-07-01 05:05:11,192.168.1.119,"Alexandrafurt, Factory-Floor",/telemetry/upload,biometric,248.54,['EXEC /sync'],RTOS v1.0 | MAC:54:3c:eb:3d:b9:99,normal
dev_3006,edge_device,2026-07-01 05:10:07,192.168.1.106,"Brandonburgh, Factory-Floor",/telemetry/upload,token,124.37,['EXEC /sync'],RTOS v3.0 | MAC:32:6f:58:23:49:b0,normal
dev_3017,edge_device,2026-07-01 05:11:35,192.168.1.117,"Port Brian, Factory-Floor",/telemetry/upload,token,188.65,['EXEC /sync'],RTOS v3.0 | MAC:2a:69:0d:fe:d0:7e,normal
dev_3015,edge_device,2026-07-01 05:14:12,192.168.1.115,"Mooreside, Factory-Floor",/status,token,13.0,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
svc_2009,service_account,2026-07-01 05:17:28,10.0.0.116,DataCenter-US-East,/healthcheck,certificate,247.9,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2001,service_account,2026-07-01 05:18:10,10.0.0.127,DataCenter-US-East,/healthcheck,certificate,134.43,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3018,edge_device,2026-07-01 05:18:34,192.168.1.118,"Hawkinsville, Factory-Floor",/status,token,181.0,['EXEC /sync'],RTOS v1.0 | MAC:8c:5a:dd:ef:77:24,normal
svc_2002,service_account,2026-07-01 05:18:38,10.0.0.46,DataCenter-US-East,/internal/sync,certificate,135.88,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3005,edge_device,2026-07-01 05:19:32,192.168.1.105,"Julieport, Factory-Floor",/status,token,120.54,['EXEC /sync'],RTOS v2.0 | MAC:c0:2e:57:c7:2b:bb,normal
dev_3015,edge_device,2026-07-01 05:21:34,192.168.1.115,"Mooreside, Factory-Floor",/status,token,148.36,['EXEC /sync'],RTOS v1.0 | MAC:50:8b:5a:1b:16:c1,normal
dev_3004,edge_device,2026-07-01 05:22:43,192.168.1.104,"Port Timothyberg, Factory-Floor",/status,token,118.87,['EXEC /sync'],RTOS v1.0 | MAC:3a:5a:a2:25:59:57,normal
svc_2001,service_account,2026-07-01 05:25:17,10.0.0.127,DataCenter-US-East,/healthcheck,certificate,231.61,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3013,edge_device,2026-07-01 05:26:26,192.168.1.113,"Ellisport, Factory-Floor",/telemetry/upload,token,138.2,['EXEC /sync'],RTOS v3.0 | MAC:7e:9d:82:57:8a:dd,normal
svc_2002,service_account,2026-07-01 05:28:09,10.0.0.46,DataCenter-US-East,/internal/sync,certificate,59.76,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3000,edge_device,2026-07-01 05:28:22,192.168.1.100,"Davidchester, Factory-Floor",/status,token,122.93,['EXEC /sync'],RTOS v4.0 | MAC:b6:b7:33:d5:c0:7d,normal
svc_2001,service_account,2026-07-01 05:29:45,10.0.0.127,DataCenter-US-East,/healthcheck,certificate,254.85,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
svc_2004,service_account,2026-07-01 05:30:41,10.0.0.107,DataCenter-US-East,/internal/sync,certificate,95.58,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3012,edge_device,2026-07-01 05:34:08,192.168.1.112,"North Jennifer, Factory-Floor",/status,biometric,207.0,['EXEC /sync'],RTOS v4.0 | MAC:f2:7d:b6:62:29:eb,normal
dev_3014,edge_device,2026-07-01 05:34:08,192.168.1.114,"Christineburgh, Factory-Floor",/status,token,149.66,['EXEC /sync'],RTOS v1.0 | MAC:52:b3:a7:34:85:f6,normal
svc_2001,service_account,2026-07-01 05:35:38,10.0.0.127,DataCenter-US-East,/healthcheck,certificate,148.29,['EXEC /sync'],Linux x86_64 | Daemon 2.1,normal
dev_3005,edge_device,2026-07-01 05:38:15,192.168.1.105,"Julieport, Factory-Floor",/status,token,101.1,['EXEC /sync'],RTOS v2.0 | MAC:c0:2e:57:c7:2b:bb,normal
dev_3000,edge_device,2026-07-01 05:38:34,192.168.1.100,"Davidchester, Factory-Floor",/status,token,102.08,['EXEC /sync'],RTOS v4.0 | MAC:b6:b7:33:d5:c0:7d,normal
dev_3010,edge_device,2026-07-01 05:40:09,192.168.1.110,"East Heather, Factory-Floor",/telemetry/upload,token,92.23,['EXEC /sync'],RTOS v4.0 | MAC:a0:20:8e:ec:42:f6,normal
dev_3001,edge_device,2026-07-01 05:48:47,192.168.1.101,"Robertsberg, Factory-Floor",/status,token,182.52,['EXEC /sync'],RTOS v4.0 | MAC:b6:36:8a:0b:48:ac,normal
